EPOCH	1	Loss
Loss:	=	0.033
Loss:	=	0.032
Loss:	=	0.057
Loss:	=	0.043
Loss:	=	0.045
Loss:	=	0.051
Loss:	=	0.042
Loss:	=	0.051
		
EPOCH	2	0
Loss:	=	0.064
Loss:	=	0.046
Loss:	=	0.066
Loss:	=	0.052
Loss:	=	0.04
Loss:	=	0.065
Loss:	=	0.06
Loss:	=	0.06
Loss:	=	0.048
Loss:	=	0.052
Loss:	=	0.047
Loss:	=	0.039
Loss:	=	0.044
Loss:	=	0.055
Loss:	=	0.046
Loss:	=	0.048
Loss:	=	0.05
Loss:	=	0.05
Loss:	=	0.057
Loss:	=	0.092
Loss:	=	0.043
Loss:	=	0.041
Loss:	=	0.062
Loss:	=	0.03
Loss:	=	0.047
Loss:	=	0.046
Loss:	=	0.051
Loss:	=	0.076
Loss:	=	0.043
Loss:	=	0.04
Loss:	=	0.03
Loss:	=	0.042
Loss:	=	0.026
Loss:	=	0.049
Loss:	=	0.048
Loss:	=	0.027
Loss:	=	0.06
Loss:	=	0.05
Loss:	=	0.039
Loss:	=	0.055
Loss:	=	0.044
Loss:	=	0.063
Loss:	=	0.04
Loss:	=	0.072
Loss:	=	0.06
Loss:	=	0.051
Loss:	=	0.084
Loss:	=	0.071
Loss:	=	0.064
Loss:	=	0.049
Loss:	=	0.033
Loss:	=	0.058
Loss:	=	0.058
Loss:	=	0.039
Loss:	=	0.039
Loss:	=	0.042
Loss:	=	0.058
Loss:	=	0.052
		
EPOCH	2	1
Loss:	=	0.048
Loss:	=	0.036
Loss:	=	0.079
Loss:	=	0.046
Loss:	=	0.043
Loss:	=	0.058
Loss:	=	0.04
Loss:	=	0.046
Loss:	=	0.029
Loss:	=	0.048
Loss:	=	0.059
Loss:	=	0.059
Loss:	=	0.058
Loss:	=	0.053
Loss:	=	0.054
Loss:	=	0.063
Loss:	=	0.062
Loss:	=	0.084
Loss:	=	0.052
Loss:	=	0.031
Loss:	=	0.03
Loss:	=	0.049
Loss:	=	0.04
Loss:	=	0.04
Loss:	=	0.044
Loss:	=	0.039
Loss:	=	0.057
Loss:	=	0.071
Loss:	=	0.039
Loss:	=	0.057
Loss:	=	0.058
Loss:	=	0.061
Loss:	=	0.032
Loss:	=	0.06
Loss:	=	0.039
Loss:	=	0.067
Loss:	=	0.061
Loss:	=	0.035
Loss:	=	0.054
Loss:	=	0.048
Loss:	=	0.029
Loss:	=	0.037
Loss:	=	0.046
Loss:	=	0.029
Loss:	=	0.059
Loss:	=	0.057
Loss:	=	0.071
Loss:	=	0.035
Loss:	=	0.044
Loss:	=	0.043
Loss:	=	0.042
Loss:	=	0.036
Loss:	=	0.029
Loss:	=	0.041
Loss:	=	0.043
Loss:	=	0.056
Loss:	=	0.034
Loss:	=	0.031
		
EPOCH	2	2
Loss:	=	0.03
Loss:	=	0.065
Loss:	=	0.05
Loss:	=	0.051
Loss:	=	0.044
